Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales
2364:NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.88
2373:Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.88
2377:Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.88
2433:NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.85
2460:NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.84
2483:Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.83
2499:Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.83
253:The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,4.38
2590:Motocross Mania,PS,2001,Racing,Take-Two Interactive,0.79
25:Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27
2615:WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.78
2633:Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.78
2634:NBA 2K7,PS2,2006,Sports,Take-Two Interactive,0.78
26:Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15
2706:Duke Nukem Forever,PS3,2011,Shooter,Take-Two Interactive,0.76
2723:Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,0.75
2763:Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,0.74
2782:NBA 2K16,PS3,2015,Sports,Take-Two Interactive,0.74
2849:Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.72
2867:XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.71
2966:Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.69
296:Carnival Games,Wii,2007,Misc,Take-Two Interactive,4.05
3030:Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,0.66
3039:The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.66
3069:BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.66
3129:Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.64
3137:Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,Take-Two Interactive,0.64
3141:WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.64
316:NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88
3170:Evolve,XOne,2015,Shooter,Take-Two Interactive,0.64
3222:XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.62
3252:Mafia III,XOne,2016,Action,Take-Two Interactive,0.62
3275:NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.61
3303:Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.61
3338:NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.6
3367:WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.6
3379:New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.59
3403:WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.59
3438:Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.58
3456:NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.58
346:Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,3.65
